i really do not like this product because it makes my hair so greasy it looks like i put crisco in my hair it states that you should shake it   which is really hard to do because it is so thick   it leaves my scalp super greasy & my end dry  very unhappy about that  it does have a semi nice smell to it ,Positive
 you have to have this in your makeup this is the coolest palette that i have for my daughter  love the colors and the way the company match them up  in the morning when getting ready for school it makes it so easy to match your colors and be on your way never late to school and always looking so pretty  you can mac i have it but you pay big bucks for it and this is as good to me and get more of it then the higher price one i am 15 teen and have a real makeup collect as my mother calls it i am working on it hard love amazon and the prices a customer for life                ,Positive
 this product does cover ok but don t buy it if you have sensitive skin  once use and the areas i put it on were all burned red as in a sunburn  also  ordered in ivory to fair and came in fair to normal  once opened it can t be returned  ,Negative
these bath crystals don t bubble and have a most pleasant aroma   i love this product and find it is very soothing to the skin ,Positive
i had an original 413 for a few years and loved the brush until my dogs got ahold of it  mine was black so i ordered 1 of these because i was so glad i found them   they are crap and nothing like the original  don t order them  after a month the whole bristle part rubber and all came apart from the cheap handle  i never was so disappointed in my life  they cannot be real products of pm  he would not allow this cheap crap to have his name on it  i contacted the company bc when the brush arrived it was already missing bristles  i told them i didnt appreciate a crap knock off product i sent this email to them i received this item late and it was missing several bristles  i have previously owned this brush that i bought at a salon but my dogs ate it  i dont feel like this item was an authentic item as it was much lighter that the one i had and the quality was very poor heatherthe response from them was that they do not sell fakes and to send them pictures of the missing bristles  i did as they said and sent them the pictures on sept 22  to this day no response from them which shows me they dont stand behind their products and i hit the nail on the head when i said fake ,Negative
 can t use any of them and there are tons of lovely designs i tried  i work fast  use konad polishes and other polishes  own about 50 or so varnishes ranging from wet n wild to essie and sally hanson  all to no avail  the indentations are so shallow they don t allow for any stamping to occur  waste of money  i guess from good reviews  it s either hit or miss  i guess i got the short straw  can t return them but will contact the company to complain  thought all my family would love a set but won t order again  i followed all the directions  nothing would transfer at all  not happy camper  ,Negative
this color is absolutely hideous   it looks like i have pennies on all of my fingers   i was expecting this to be a gold glittery polish but i was wrong   its a pure copper color and does not look good with pale skin tones ,Negative
i started using glass nail files a few years ago and i could never use another type of nail file again   i have had good and bad ones from different companies   i decided to try these based on the reviews i have read and i have to say that these are the absolute best glass nail files that i have found   i am actually about to buy another set bc i only got to keep one for myself after handing out the others to family and friends   i highly recommend this product ,Positive
i personally can t really recommend this product as i don t feel it really made much difference with my hair  i probably will not be purchasing it again ,Negative
i don t like my nose it bothers me the price of this shaping tool is only around $3 or for me  i gave it a try andthere is no way this thing can make a nose smaller it s a good idea since a nose job is $ and insurance sadly doesn t pay for it i just don t think that wearing this everyday will make a permanent change or change at all ,Negative
i loved the color and the packaging and the primer and the brush    so beautiful     its a professional palette,Positive
 i have used this dust several days now and i have yet to determine if it is actually doing anything   it seems to work as more of a dry shampoo  removing oils from my hair  than a styling product   it does not say how much to use which may be part of the problem   it does smell good  but you need to make sure you give your hair a good tousle so it isn t visible in your hair   as for hold  i don t think it is effective but maybe i m not using enough  ,Negative
 i was so excited when this became available on amazon  it s super affordable and every single brush is fantastic quality    i actually use the foundation brush for concealer on my face and the eyeshadow brush for undereye concealer and the multitask brush for powder  i love love love them all  the multitask brush is super super soft so it can push the powder into the skin and ensures it s not sitting on top of the foundation and have my face looking powdery  i love it and use it every single day  i haven t touched my sigma powder brush since i got this one  when i m cleaning my dresser i can t stop touching them  they are so soft  these brushes are a definite must have  ,Positive
great price   looks good on   stays all day   easy to remove   i would reccommend this product   i have bought the same product in different shades and i love them all,Positive
